序號,班級,學號,姓名,GitHub,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
104,資工所,112C53877,赴噯鈍,s1hum6bvwqf,3,1,0,8,7,9,6,1,3,2
105,電資AI,111C71453,锰衠轃,5taolna1vhf,0,1,8,9,3,8,5,8,6,4
106,資工系,112590948,禓孚溻,nlzqfu4euhl,4,5,8,5,1,3,5,3,1,1
107,電資資安,112C53290,鼽忇蹥,2p1bmkmli1,3,3,9,1,0,9,0,1,5,0
108,電資AI,112598830,兲菠勧,w5i004psqq,8,3,3,2,9,3,6,9,1,3
109,電資AI,111598689,垔窿毑,fza5mx7jim,8,5,2,4,3,6,5,4,3,2
110,資工所,111C52152,峙柱枺,lgmfvu7ov6h,8,7,5,1,4,3,0,5,0,3
111,資工所,112C52599,揷鎶磾,glzkq8itvv,0,9,8,0,3,2,8,9,8,3
112,電資AI,112C71540,溲臹銅,am602kml8v,1,0,9,9,9,6,6,8,0,1
113,創新AI,111598995,藽騮廇,q8daae04e,6,8,6,3,8,0,6,6,3,7
114,資工系,112C53884,誺矊糁,gr5jq51lwa,0,4,3,2,2,3,5,4,6,3
115,資工所,112C53680,賊丫舓,z4nu2b89l9g,3,1,5,1,9,9,4,1,6,3
116,電資資安,111C53230,炅牁踂,4y6fd5x3lef,6,9,7,3,6,4,7,1,6,9
117,電資資安,112590598,砯贜秞,9jba1i9xakk,2,3,4,2,5,7,2,7,7,2
118,電資AI,111C53613,砬縬懕,casugavxzt,4,7,4,1,3,5,6,7,7,6
119,電資AI,111590455,敚柧罏,nmpgz941wy,8,3,4,0,4,9,3,6,1,4
120,電資資安,111598089,鳄檏蔝,v75x6ymoz9j,8,4,9,2,1,6,3,5,4,3
